ID_Atividade;Versão;ID_Projeto;Código_Projeto;Código_Projeto:Código_Projeto;Descrição_Atividade;Conclusão_Atividade;Gestor_Atividade;Data_Início;Data_Fim;Duração_Atividades;Documentos_Associados;Código_Projeto:ID;Código_Projeto:ID_Projeto;Tipo_Atividade;Modificado;Modificado por;Evento_IntervençãoCOM
AT/001/PR/001/2018;7.0;SAMA CRIA;14;PR/001/2018;Revisão da metodologia de RIA sobre as empresas;Sim;Manuel Cabugueira;17/07/2018;31/12/2018;167;0;14;SAMA CRIA;Atividade;12/10/2023 02:16;João Pinto Dutra;False
AT/001/PR/001/2019;7.0;SAMA IA2AI;15;PR/001/2019;Caracterização do problema, dos objetivos e do impacto esperado;Sim;Manuel Cabugueira;01/11/2019;31/12/2019;60;0;15;IA2AI;Atividade;12/10/2023 02:16;João Pinto Dutra;False
AT/001/PR/001/2022;9.0;Site institucional PlanAPP;17;PR/001/2022;Desenho e implementação;Sim;Manuel Esteves;31/01/2022;02/05/2022;91;0;17;Site institucional PlanAPP;Atividade;12/10/2023 02:21;João Pinto Dutra;False
AT/001/PR/002/2022;9.0;Plano de formação 2022;11;PR/002/2022;Diagnóstico de necessidades;Sim;Manuel Esteves;02/11/2021;15/01/2022;74;0;11;Plano de formação 2022;Entregável;12/10/2023 02:25;João Pinto Dutra;False
AT/001/PR/005/2022;9.0;Reflexão estratégica - OCDE;13;PR/005/2022;Envio da Offer Letter à OCDE;;;;;;;;;;;;
;"Sim""";Maria Fernandes;30/03/2022;30/03/2022;0;0;13;Reflexão estratégica - OCDE;Marco;12/10/2023 02:38;João Pinto Dutra;False;;;;;
AT/001/PR/006/2022;9.0;Modelos regionais de input-output e multiplicadores para todas as regiões NUTS II;6;PR/006/2022;Apresentação da ideia, análise e design do programa em contexto científico e sua discussão com peritos internacionais na utilização da metodologia Input-Output;Sim;;23/09/2022;23/09/2022;0;0;6;Ferramenta de Análise de impactos económicos à escala regional;Marco;27/10/2023 06:18;Gonçalo Marçal;False
AT/001/PR/007/2022;6.0;Custos da parentalidade;30;PR/007/2022;Revisão da literatura;Sim;;01/06/2022;30/06/2022;29;0;30;Custos da Parentalidade;Atividade;12/10/2023 02:52;João Pinto Dutra;False
AT/001/PR/008/2022;6.0;Publicações periódicas;12;PR/008/2022;Aquisição de revistas, jornais e publicações;Sim;;01/01/2022;31/12/2022;364;0;12;Publicações periódicas;Entregável;12/10/2023 02:54;João Pinto Dutra;False
AT/001/PR/009/2022;8.0;Laboratório Colaborativo de Prospetiva – LAB2050.PT;7;PR/009/2022;1º encontro de reflexão prospetiva;Sim;;01/09/2022;30/09/2022;29;0;7;Laboratório colaborativo de prospetiva – LAB2050.PT;Evento;26/10/2023 02:20;Fronika de Wit;False
AT/001/PR/011/2022;8.0;Identidade corporativa PlanAPP;5;PR/011/2022;Serviços de facilitação de sessões de trabalho colaborativo e de co-produção;Sim;Manuel Esteves;14/03/2022;31/12/2022;292;0;5;Identidade corporativa PlanAPP;Atividade;12/10/2023 03:01;João Pinto Dutra;False
AT/002/PR/001/2018;7.0;SAMA CRIA;14;PR/001/2018;Implementação do modelo de RIA sobre as pessoas;Sim;Manuel Cabugueira;01/01/2019;30/06/2019;180;0;14;SAMA CRIA;Atividade;12/10/2023 02:16;João Pinto Dutra;False
AT/002/PR/001/2019;7.0;SAMA IA2AI;15;PR/001/2019;Aquisição e Preparação de dados;Sim;Manuel Cabugueira;01/01/2020;30/06/2020;181;0;15;IA2AI;Atividade;12/10/2023 02:16;João Pinto Dutra;False
AT/002/PR/002/2022;9.0;Plano de formação 2022;11;PR/002/2022;Preparação do Plano de Formação;Sim;Manuel Esteves;01/02/2022;04/04/2022;62;0;11;Plano de formação 2022;Atividade;12/10/2023 02:24;João Pinto Dutra;False
AT/002/PR/005/2022;11.0;Reflexão estratégica - OCDE;13;PR/005/2022;Módulo 1 - Output 1 -  Inquérito à Confiança da OCDE: um conjunto de dados quantitativos inovadores sobre os fatores determinantes da confiança nas instituições públicas em Portugal;Sim;Maria Fernandes;01/04/2022;30/04/2022;29;0;13;Reflexão estratégica - OCDE;Atividade;12/10/2023 02:38;João Pinto Dutra;False
AT/002/PR/006/2022;14.0;Modelos regionais de input-output e multiplicadores para todas as regiões NUTS II;6;PR/006/2022;Entrega de relatório técnico relativo à construção do modelo e derivação das correspondentes matrizes input-output;Sim;Francisco Furtado;13/09/2022;30/09/2022;17;0;6;Ferramenta de Análise de impactos económicos à escala regional;Entregável;27/10/2023 07:53;Gonçalo Marçal;False
AT/002/PR/007/2022;9.0;Custos da parentalidade;30;PR/007/2022;Conceptualização do estudo e caraterização das fontes de informação;Sim;;01/06/2022;30/06/2022;29;0;30;Custos da Parentalidade;Atividade;12/10/2023 02:51;João Pinto Dutra;False
