ID;ID_Projeto;Código_Projeto;NIIPP;Indicador_PlanoAtividade;Objetivo_Operacional_PlanoAtividade;Objetivo_Estratégico_PlanoAtividade;Entidade_Financiamento;Papel_Entidade;UT_Responsável;Data_Início;Data_Fim;Documentos_Associados;Estado_Projeto;Observação;Projetos_especiais_prioritários;Ano;Criado por;Gestor_Projeto;Gestor_Projetos_Users;Eixo;Versão;Duração_Projeto;Modificado
18;1. Project Phoenix;PR/001/2017;;;;;IAT;Financiadora;UTAIL;20/10/2017;31/12/2018;0;Concluído;Projeto antigo sem informação de NIIPP e valor elegível.;False;2017;João Pinto Dutra;Manuel Cabugueira;Manuel Cabugueira;Avaliação de impacto legislativo;8.0;437;02/03/2023 02:30
14;2. Operation Mercury;PR/001/2018;;;;;;;;;;;;;;;;;;;;;
15;3. Project Odyssey;PR/001/2019;;;;;SAMA;Co-Financiadora;UTAIL;01/11/2019;30/06/2022;0;Concluído;;False;2019;João Pinto Dutra;Manuel Cabugueira;Manuel Cabugueira;Avaliação de impacto legislativo;17.0;972;27/03/2023 05:56
16;4. Operation Zenith;PR/001/2020;;;;;;;;;;;;;;;;;;;;;
20;5. Project Quantum;PR/001/2021;;;;;IAT;Financiadora;UTAIL;01/08/2022;31/12/2023;0;Em Execução;;False;2021;João Pinto Dutra;Luís Baltazar;Luís Baltazar;Avaliação de impacto legislativo;12.0;517;23/05/2023 03:15
17;6. Operation Horizon;PR/001/2022;001/PlanAPP/2022;;;;;;;;;;;;;;;;;;;;
50;7. Project Nimbus;PR/001/2023;;;;"[""OE3""]";INTERNO;;AE;01/01/2023;31/12/2026;0;Em Execução;;True;2023;João Pinto Dutra;Susana Sobral;Susana Sobral;Ciência para as PP;21.0;1 460;17/07/2023 03:12
19;8. Operation Stardust;PR/002/2018;;;;;IAT;Financiadora;UTAIL;16/07/2019;21/10/2021;0;Concluído;;False;2018;João Pinto Dutra;Manuel Cabugueira;Manuel Cabugueira;Avaliação de impacto legislativo;10.0;828;11/04/2023 08:14
32;9. Project Atlas;PR/002/2021;;;;;;;;;;;;;;;;;;;;;
11;10. Operation Pinnacle;PR/002/2022;020/PlanAPP/2022;;;"[""OE1"",""OE2""]";PRR;Financiadora;UTGCC;01/09/2022;31/12/2023;0;Concluído;;False;2022;João Pinto Dutra;Teresa Tameirão;Teresa Tameirão;Capacitação e recursos;19.0;486;02/03/2023 02:30
33;11. Project Catalyst;PR/004/2022;;;;"[""OE1"",""OE2"",""OE3"",""OE4""]";INTERNO;;Direção;14/06/2022;;0;Concluído;;False;2022;João Pinto Dutra;Paulo Areosa Feio;Paulo Areosa Feio;Moldura Institucional do PlanAPP;14.0;null;02/03/2023 02:31
13;12. Operation Eclipse;PR/005/2022;028/PlanAPP/2022;;;;;;;;;;;;;;;;;;;;
6;13. Project Titan;PR/006/2022;024/PlanAPP/2022;;;"[""OE2""]";PRR;Financiadora;UTPP;31/03/2022;31/12/2023;0;Em Execução;A consultoria de um perito em análise input-output, integrante deste projecto, tem um projecto autónomo em si mesmo (PR/010/2022).;False;2022;João Pinto Dutra;Gonçalo Marçal;Gonçalo Marçal;Ferramentas de análise e metodologias;20.0;640;27/10/2023 07:57
30;14. Operation Aurora;PR/007/2022;;;;"[""OE1""]";;;UTAM;;;0;Cancelado;;False;2022;João Pinto Dutra;Ana Salvado;Ana Salvado;Monitorização e avaliação de PP;12.0;null;02/03/2023 02:31
12;15. Project Genesis;PR/008/2022;032/PlanAPP/2022;;;"[""OE4""]";PRR;Financiadora;UTGCC;25/03/2022;29/05/2022;0;Concluído;;False;2022;João Pinto Dutra;Hugo Barros;Hugo Barros;Comunicação;15.0;65;27/03/2023 08:25
7;16. Operation Centauri;PR/009/2022;085/PlanAPP/2022;;;"[""OE4""]";POAT;Co-Financiadora;UTPP;01/07/2022;31/10/2023;0;Em Execução;;False;2022;João Pinto Dutra;Fronika de Wit;;Prospetiva;16.0;487;04/09/2023 04:18
9;17. Project Endeavor;PR/010/2022;040/PlanAPP/2022;;;"[""OE1"",""OE2""]";PRR;Financiadora;UTPP;01/05/2022;31/12/2023;0;;Este projecto está associado ao projecto PR/006/2022;False;2022;João Pinto Dutra;Gonçalo Marçal;Gonçalo Marçal;Ferramentas de análise e metodologias;9.0;609;27/10/2023 07:58
5;18. Operation Nebula;PR/011/2022;045/PlanAPP/2022;;;"[""OE3""]";PRR;Financiadora;UTGCC;01/01/2022;31/12/2022;0;Concluído;;False;2022;João Pinto Dutra;Helena Martelo;;Comunicação;13.0;364;21/04/2023 02:13
21;19. Project Apollo;PR/012/2022;;;;"[""OE1"",""OE2"",""OE3"",""OE4""]";PRR-Beneficiário Final;Financiadora;UTPRI;17/05/2022;06/03/2023;0;Concluído;;False;2022;João Pinto Dutra;César Rosa;César Rosa;Sistemas de Informação e Tecnologia;11.0;293;25/09/2023 07:29
10;20. Operation Zenith;PR/013/2022;062/PlanAPP/2022;;;"[""OE1"",""OE2"",""OE3"",""OE4""]";PRR;Financiadora;UTGSIQ;20/05/2022;31/03/2022;0;Em Execução;;False;2022;João Pinto Dutra;Ana Lacerda Pinto;Ana Lacerda Pinto;Gestão e Melhoria Contínua;19.0;%23NUM!;07/03/2023 02:58
